Title,ReleaseDate,Popularity,Budget,Revenue,Director,Genre,IMDBRating,IMDBVotes,BoxOfice,Production
Planet der Kannibalen,'17/11/2001',0.016397,0.0,0.0,Hans-Christoph Blumenberg,"Crime, Sci-Fi, Comedy",5.4,156,N/A,N/A
Bangun Lagi Dong Lupus,'03/04/2013',0.034088,0.0,0.0,Benni Setiawan,"Comedy, Drama, Romance",6.8,33,N/A,N/A
The Razah Code Underground Hip-Hop Chapter 1,'05/09/2006',0.005625,0.0,0.0,"Apademik, Hell Razah, Khalik Allah",Biography,8.0,8,N/A,N/A
Lorna,'09/11/2014',0.062283,0.0,0.0,Sigrid Andrea Bernardo,"Comedy, Romance",7.6,13,N/A,N/A
Confession d'un dragueur,'24/07/2001',0.006789,11000000.0,0.0,Alain Soral,Comedy,4.8,169,N/A,N/A
Rattlesnake in a Cooler,'01/01/1982',0.2025,0.0,0.0,Robert Altman,Drama,8.8,31,N/A,N/A
El Chilean Elvis,'NaT',0.0,0.0,0.0,Marcelo Kiwi Beiger,"Documentary, Short, Comedy",8.2,5,N/A,N/A
Nu.,'30/09/2006',0.008604,0.0,0.0,Jan-Willem van Ewijk,Drama,6.8,47,N/A,N/A
Hector's Hectic Life,'19/11/1948',0.013944,0.0,0.0,"Bill Tytla, George Germanetti","Animation, Short, Comedy",5.8,134,N/A,N/A
Poove Unakkaga,'15/02/1996',0.001884,0.0,0.0,N/A,N/A,7.3,366,N/A,N/A
Day 39,'16/09/2015',0.043125,0.0,0.0,Jesse Gustafson,"Short, Drama, Thriller",7.3,12,N/A,N/A
A Normal Life,'08/12/2003',0.003825,0.0,0.0,Dewey Moss,Drama,8.1,11,N/A,N/A
Matters of the Heart,'26/12/1990',0.001323,0.0,0.0,Michael Ray Rhodes,"Drama, Romance",6.7,128,N/A,MCA Universal Home Video
Az obsitos,'21/10/1917',0.002813,0.0,0.0,Béla Balogh,Drama,6.7,6,N/A,N/A
Caitlin Among the Beasts,'15/09/2015',0.047475,0.0,0.0,Adam Bertocci,"Short, Comedy, Drama",N/A,N/A,N/A,N/A
The Storm Rider,'01/03/1957',0.054368,0.0,0.0,Edward Bernds,"Romance, Western",6.0,55,N/A,20th Century Fox Film Corporation
Rain,'06/09/2008',0.08874,0.0,0.0,Paula Hernández,"Drama, Romance",6.5,363,N/A,Buena Vista International
By,'10/01/2013',nan,0.0,0.0,Alain Guiraudie,"Drama, Romance, Thriller",6.8,"10,150",N/A,Strand Releasing
Historia de un director idiota,'02/03/2010',0.099233,0.0,0.0,Sergio Candel,Comedy,4.0,12,N/A,N/A
Ser un ser humano,'01/01/2011',0.011252,0.0,0.0,"Abdelsallam Al-Hajj, Claudia Alves, Laura Cardona, Jean Jean León, Marina McCartney, Rafael Ruíz, Helena Salguero, Chatterjee Sreya","Documentary, Biography, Family",N/A,N/A,N/A,N/A
Breathing Room,'25/08/2008',0.675561,0.0,0.0,"John Suits, Gabriel Cowan(co-director)","Horror, Mystery, Thriller",4.4,"3,074",N/A,Arrow Releasing
Winky the Watchman,'07/09/1945',0.003177,0.0,0.0,Hugh Harman,"Short, Animation",5.8,12,N/A,N/A
A Covenant with Death,'15/02/1967',0.062202,0.0,0.0,Lamont Johnson,Drama,6.4,149,N/A,Warner Bros.
Didi auf vollen Touren,'27/11/1986',1.7e-05,0.0,0.0,Wigbert Wicker,Comedy,5.5,421,N/A,N/A
Sergeant X,'NaT',0.75,25000000.0,0.0,Vladimir Strizhevsky,N/A,N/A,N/A,N/A,N/A
Monday at 11:01 A.M.,'05/02/2016',0.22514,0.0,0.0,Harvey Lowry,Thriller,6.5,23,N/A,Charles Agron Productions
Prema Katha Chitram,'07/06/2013',0.020706,0.0,0.0,J. Prabhakar Reddy,"Drama, Horror",7.2,618,N/A,Movie Blue Sky
Amsterdams vreemdelingenverkeer,'NaT',0.001875,0.0,0.0,N/A,"Documentary, Short",2.6,5,N/A,N/A
The Six Wives of Henry Lefay,'01/01/2009',3.028849,0.0,0.0,Howard Michael Gould,Comedy,5.2,"2,622",N/A,National Entertainment Media
